,subject,description
0,Why NIOS II SBT for Eclipse does not run?,"I did all that is described in the following, but still nothing happens.   Can anyone help? "
1,dummy content for move,
2,Error building examples: 'make test-fpga' fails with missing -lgcc and -lgcc_s,"The output is here: ``` vsim -dpioutoftheblue 1 -sv_lib /home/edhenderson/intelFPGA_pro/20.1/hls/host/linux64/lib/libhls_cosim_msim32 -L work -L work_lib -L altera_ver -L lpm_ver -L sgate_ver -L altera_mf_ver -L altera_lnsim_ver -L twentynm_ver -L twentynm_hssi_ver -L twentynm_hip_ver -L altera -L lpm -L sgate -L altera_mf -L altera_lnsim -L twentynm -L twentynm_hssi -L twentynm_hip -L avalon_conduit_fanout_10 -L resize_ir_cfan -L avalon_concatenate_singlebit_conduits_10 -L cat_done -L resize_osacat -L hls_sim_stream_source_dpi_bfm_10 -L sso_resize_original_image -L hls_sim_main_dpi_controller_10 -L main_dpi_controller -L cat_cwfsw -L hls_sim_component_dpi_controller_10 -L dpic_resize -L sso_resize_ratio -L hls_sim_clock_reset_10 -L clock_reset -L sso_resize_rows -L resize_en_cfan -L avalon_split_multibit_conduit_10 -L sp_cstart -L sso_resize_cols -L resize_cfan -L resize_internal_10 -L resize -L hls_sim_stream_sink_dpi_bfm_10 -L ssi_resize_resized_image -L altera_irq_mapper_1920 -L tb tb.tb # Start time: 15:53:04 on Jun 13,2020 # ** Fatal: (vsim-3827) Could not compile 'export_tramp.so': cmd = '/home/edhenderson/intelFPGA_pro/20.1/gcc/bin/gcc  -shared -fPIC -m32 -B/usr/lib32 -g -I. -I""/home/edhenderson/intelFPGA_pro/20.1/modelsim_ase/include"" -I""/home/edhenderson/intelFPGA_pro/20.1/modelsim_ase/../oem/include"" -o ""/tmp/edhenderson@bondinorthbu_dpi_14286/linuxaloem_gcc-9.1.0/export_tramp.so"" ""/tmp/edhenderson@bondinorthbu_dpi_14286/linuxaloem_gcc-9.1.0/export_tramp.S""' # (vsim-50) A call to system(/home/edhenderson/intelFPGA_pro/20.1/gcc/bin/gcc  -shared -fPIC -m32 -B/usr/lib32 -g -I. -I""/home/edhenderson/intelFPGA_pro/20.1/modelsim_ase/include"" -I""/home/edhenderson/intelFPGA_pro/20.1/modelsim_ase/../oem/include"" -o ""/tmp/edhenderson@bondinorthbu_dpi_14286/linuxaloem_gcc-9.1.0/export_tramp.so"" ""/tmp/edhenderson@bondinorthbu_dpi_14286/linuxaloem_gcc-9.1.0/export_tramp.S"" >'/tmp/questatmp.cGbztW' 2>&1) returned error code '1'. # The logfile contains the following messages: # /home/edhenderson/intelFPGA_pro/20.1/gcc/bin/../lib/gcc/x86_64-pc-linux-gnu/9.1.0/../../../../x86_64-pc-linux-gnu/bin/ld: skipping incompatible /home/edhenderson/intelFPGA_pro/20.1/gcc/bin/../lib/gcc/x86_64-pc-linux-gnu/9.1.0/libgcc.a when searching for -lgcc # /home/edhenderson/intelFPGA_pro/20.1/gcc/bin/../lib/gcc/x86_64-pc-linux-gnu/9.1.0/../../../../x86_64-pc-linux-gnu/bin/ld: cannot find -lgcc # /home/edhenderson/intelFPGA_pro/20.1/gcc/bin/../lib/gcc/x86_64-pc-linux-gnu/9.1.0/../../../../x86_64-pc-linux-gnu/bin/ld: cannot find -lgcc_s # collect2: error: ld returned 1 exit status ```  I've installed, and re-installed the tools, including Modelsim. I've tried starter and FPGA edition (no license though).  I've sourced init_hls.sh of course. Here is my PATH and LD_LIBRARY_PATH  ``` LD_LIBRARY_PATH=/home/edhenderson/intelFPGA_pro/20.1/gcc/lib64:/home/edhenderson/intelFPGA_pro/20.1/hls/host/linux64/lib:/home/edhenderson/intelFPGA_pro/20.1/modelsim_ae/gcc-4.7.4-linux/lib PATH=/home/edhenderson/intelFPGA_pro/20.1/modelsim_ase/bin:/home/edhenderson/intelFPGA_pro/20.1/qsys/bin:/home/edhenderson/intelFPGA_pro/20.1/gcc/bin:/home/edhenderson/intelFPGA_pro/20.1/hls/bin:/home/edhenderson/intelFPGA_pro/20.1/qsys/bin:/home/edhenderson/intelFPGA_pro/20.1/quartus/bin:/home/edhenderson/intelFPGA_pro/20.1/quartus/sopc_builder/bin:/home/edhenderson/bin:/home/edhenderson/bin/:/home/edhenderson/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin ```  I've tried adding that last part of LD_LIBRARY_PATH: /home/edhenderson/intelFPGA_pro/20.1/modelsim_ae/gcc-4.7.4-linux/lib  but does not help or hurt. "
3,Is RSU(Remote System Upgrade) feature for PS/FPP available now for Cyclone V? What's the progress?,Someone asked the question long years ago. 
4,AT24C256C-SSHL is an Altera part and I wish to know how to remove/sanitize it's nonvolatile memory.,It is a IC CPLD of the Max II family 
5,Can you please tell me what additional testing may have been done on Intel PN EP2S30F484I4AB? I had been informed previously that the AB suffix was added when additional qualification was done.,
6,Does U-boot socfpga_v2019.04 really support LPDDR2?,"I cannot build cyclone V SPL using LPDDR2 with EDS 19.1. Does U-boot socfpga_v2019.04 really support LPDDR2?  Longer version: I have a custom cyclone V board with LPDDR2 HPS memory and so far I've been using SPL based on U-boot branch socfpga_v2013.01.01.  According to:   it seems that I have to upgrade U-boot to socfpga_v2019.04 when using EDS 19.1 but SPL does not compile when using LPDDR2 HPS memory due to missing defines. The missing ones all seem to be related to DDR3 (e.g. RW_MGR_MRS1).  I tried building new projects containing nothing but a HPS block:  When using default SDRAM (DDR3), SPL builds fine. The defines my build was missing all exist in hps_isw_handoff/*/sequencer_auto.h  When using Micron LPDDR2 SDRAM, SPL does not build due to missing defines. hps_isw_handoff/*/sequencer_auto.h does not contain the missing defines. See build log below.  Looking at code in u-boot-socfpga/drivers/ddr/altera I find no evidence of LPDDR2 support, e.g. LPDDRDIS is hardcoded to '1' in sequencer.c  So it seems that socfpga_v2019.04 does not support LPDDR2?  /Thomas  k7:~/altera/pl/c5_test_lpddr2/software/bootloader/u-boot-socfpga$ make -j8 CHK   include/config/uboot.release CHK   include/generated/timestamp_autogenerated.h UPD   include/generated/timestamp_autogenerated.h CHK   include/generated/version_autogenerated.h CHK   include/generated/generic-asm-offsets.h CHK   include/generated/asm-offsets.h HOSTCC tools/mkenvimage.o HOSTCC tools/fit_image.o HOSTCC tools/image-host.o HOSTCC tools/dumpimage.o HOSTCC tools/mkimage.o HOSTLD tools/mkenvimage HOSTLD tools/dumpimage HOSTLD tools/mkimage CC   arch/arm/mach-socfpga/wrap_pll_config.o CC   common/main.o CC   cmd/version.o LD   arch/arm/mach-socfpga/built-in.o LD   common/built-in.o LD   cmd/built-in.o CC   lib/smbios.o CC   lib/display_options.o CC   lib/efi_loader/helloworld.o CC   lib/efi_loader/efi_reloc.o CC   lib/efi_loader/efi_freestanding.o LD   lib/efi_loader/helloworld_efi.so OBJCOPY lib/efi_loader/helloworld.efi LD   lib/built-in.o LD   u-boot OBJCOPY u-boot.srec OBJCOPY u-boot-nodtb.bin SYM   u-boot.sym CAT   u-boot-dtb.bin COPY  u-boot.bin MKIMAGE u-boot.img MKIMAGE u-boot-dtb.img CC   spl/common/spl/spl.o CC   spl/arch/arm/mach-socfpga/wrap_pll_config.o CC   spl/arch/arm/mach-socfpga/wrap_iocsr_config.o CC   spl/arch/arm/mach-socfpga/wrap_pinmux_config.o CC   spl/arch/arm/mach-socfpga/wrap_sdram_config.o CC   spl/lib/display_options.o arch/arm/mach-socfpga/wrap_sdram_config.c:205:25: error: ‘RW_MGR_INIT_RESET_0_CKE_0’ undeclared here (not in a function); did you mean ‘RW_MGR_ACTIVATE_0_AND_1’? .init_reset_0_cke_0 = RW_MGR_INIT_RESET_0_CKE_0, ^~~~~~~~~~~~~~~~~~~~~~~~~ RW_MGR_ACTIVATE_0_AND_1 arch/arm/mach-socfpga/wrap_sdram_config.c:206:25: error: ‘RW_MGR_INIT_RESET_1_CKE_0’ undeclared here (not in a function); did you mean ‘RW_MGR_INIT_RESET_0_CKE_0’? .init_reset_1_cke_0 = RW_MGR_INIT_RESET_1_CKE_0, ^~~~~~~~~~~~~~~~~~~~~~~~~ RW_MGR_INIT_RESET_0_CKE_0 arch/arm/mach-socfpga/wrap_sdram_config.c:219:22: error: ‘RW_MGR_MRS0_DLL_RESET’ undeclared here (not in a function); did you mean ‘RW_MGR_SGLE_READ’? .mrs0_dll_reset  = RW_MGR_MRS0_DLL_RESET, ^~~~~~~~~~~~~~~~~~~~~ RW_MGR_SGLE_READ arch/arm/mach-socfpga/wrap_sdram_config.c:220:26: error: ‘RW_MGR_MRS0_DLL_RESET_MIRR’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS0_DLL_RESET’? .mrs0_dll_reset_mirr = RW_MGR_MRS0_DLL_RESET_MIRR, ^~~~~~~~~~~~~~~~~~~~~~~~~~ RW_MGR_MRS0_DLL_RESET arch/arm/mach-socfpga/wrap_sdram_config.c:221:17: error: ‘RW_MGR_MRS0_USER’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS0_DLL_RESET’? .mrs0_user  = RW_MGR_MRS0_USER, ^~~~~~~~~~~~~~~~ RW_MGR_MRS0_DLL_RESET arch/arm/mach-socfpga/wrap_sdram_config.c:222:22: error: ‘RW_MGR_MRS0_USER_MIRR’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS0_USER’? .mrs0_user_mirr  = RW_MGR_MRS0_USER_MIRR, ^~~~~~~~~~~~~~~~~~~~~ RW_MGR_MRS0_USER arch/arm/mach-socfpga/wrap_sdram_config.c:223:13: error: ‘RW_MGR_MRS1’ undeclared here (not in a function); did you mean ‘RW_MGR_IDLE’? .mrs1  = RW_MGR_MRS1, ^~~~~~~~~~~ RW_MGR_IDLE arch/arm/mach-socfpga/wrap_sdram_config.c:224:17: error: ‘RW_MGR_MRS1_MIRR’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS0_USER’? .mrs1_mirr  = RW_MGR_MRS1_MIRR, ^~~~~~~~~~~~~~~~ RW_MGR_MRS0_USER arch/arm/mach-socfpga/wrap_sdram_config.c:225:13: error: ‘RW_MGR_MRS2’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS1’? .mrs2  = RW_MGR_MRS2, ^~~~~~~~~~~ RW_MGR_MRS1 arch/arm/mach-socfpga/wrap_sdram_config.c:226:17: error: ‘RW_MGR_MRS2_MIRR’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS1_MIRR’? .mrs2_mirr  = RW_MGR_MRS2_MIRR, ^~~~~~~~~~~~~~~~ RW_MGR_MRS1_MIRR arch/arm/mach-socfpga/wrap_sdram_config.c:227:13: error: ‘RW_MGR_MRS3’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS2’? .mrs3  = RW_MGR_MRS3, ^~~~~~~~~~~ RW_MGR_MRS2 arch/arm/mach-socfpga/wrap_sdram_config.c:228:17: error: ‘RW_MGR_MRS3_MIRR’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS2_MIRR’? .mrs3_mirr  = RW_MGR_MRS3_MIRR, ^~~~~~~~~~~~~~~~ RW_MGR_MRS2_MIRR arch/arm/mach-socfpga/wrap_sdram_config.c:234:15: error: ‘RW_MGR_RETURN’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS3’? .rreturn  = RW_MGR_RETURN, ^~~~~~~~~~~~~ RW_MGR_MRS3 arch/arm/mach-socfpga/wrap_sdram_config.c:236:13: error: ‘RW_MGR_ZQCL’ undeclared here (not in a function); did you mean ‘RW_MGR_MRS3’? .zqcl  = RW_MGR_ZQCL, ^~~~~~~~~~~ RW_MGR_MRS3 scripts/Makefile.build:278: recipe for target 'spl/arch/arm/mach-socfpga/wrap_sdram_config.o' failed make[2]: *** [spl/arch/arm/mach-socfpga/wrap_sdram_config.o] Error 1 scripts/Makefile.spl:398: recipe for target 'spl/arch/arm/mach-socfpga' failed make[1]: *** [spl/arch/arm/mach-socfpga] Error 2 make[1]: *** Waiting for unfinished jobs.... LD   spl/common/spl/built-in.o LD   spl/lib/built-in.o Makefile:1664: recipe for target 'spl/u-boot-spl' failed make: *** [spl/u-boot-spl] Error 2  "
7,USB Blaster II not recognized by Quartus II,"Hi,  The USB Blaster II is fully installed on my windows 10 machine. However; Quartus II 11.0sp does not recognize it. The driver is fine as I do see Altera USB Blaster but the software does only see Byte Blaster.  I have read all manuals but are not able to fix this issue, please help.  BR Satbinder "
8,Relaying network packets from the HPS to the FPGA and vice versa on Cyclone V,"I am looking for design guidance in using the FPGA-to-HPS and HPS-to-FPGA bridges on a Cyclone V SoC FPGA. I am using the DE10-Standard board, which only has a Ethernet port connected to the HPS. I would like to relay the network packets to the FPGA for processing. What would be the best way to achieve that? I have read about the F2H and H2S bridges. Also the lightweight bridge, but which I suppose would be less appropriate for transferring packets since the lower throughput. But there is also the SDRAM, which seems to be another way to transfer data between the HPS and the FPGA. What would be more appropriate between the bridges and the SDRAM for transferring packets? On the HPS side, I was thinking about using DMA (I think mSGDMA) to reduce processor usage while transferring to the FPGA. Same could be done for the EMAC. Right now I am running Linux on the HPS, so I am not sure how to interface DMA. On the FPGA side, I would like to be able to use a streaming interface, like Avalon-ST to receive and send packets. Does Intel have such a wrapper since the bridges uses AXI? Thank you in advance for your time. "
9,missing hwlib.h: No such file or directory,"The complete error message is as follows $ make arm-linux-gnueabihf-gcc -g -Wall -Werror -std=c99 -Dsoc_cv_av -I/cygdrive/c/intelFPGA/18.1/embedded/ip/altera/hps/altera_hps/hwlib/include -I/cygdrive/c/intelFPGA/18.1/embedded/ip/altera/hps/altera_hps/hwlib/include/soc_cv_av -I/cygdrive/c/intelFPGA/18.1/embedded/ip/altera/hps/altera_hps/hwlib/include/soc_cv_av/ -c main.c -o main.o main.c:63:19: fatal error: hwlib.h: No such file or directory #include ""hwlib.h"" ^ compilation terminated. make: *** [main.o] Error 1  From other forums I found out that including ""cygdrive/c/intelFPGA/18.1/embedded/ip/altera/hps/altera_hps/hwlib/include"" and ""cygdrive/c/intelFPGA/18.1/embedded/ip/altera/hps/altera_hps/hwlib/include/soc_cv_av"" should ideally solve the problem. But for some reason I still seem to be getting this error. If I go to this directory and list (ls) the files I can find hwlib.h but somehow the system is unable to do this.  Please help "
10,How can i access the Ethernet physical chip interface from FPGA on DE-1 SoC  (the Ethernet connected to HPS not FPGA) ?,I am using DE-1 SoC and i have Ethernet MAC IP (HDL coded) implemented on the FPGA so i want to connect the FPGA to Ethernet interface but unfortunately the Ethernet PHY chip is connected to HPS not FPGA . 
11,make (e=2):  The system cannot find the file specified,"I am new to the Cyclone SoC and have been trying to get up to speed with tools. I am struggling just to compile a basic hello world. I am using the DE10nano and have gone through their ""my_first_hps"" tutorial and I come to the make e=2 error. I have tried this on two different PCs. I have also tried the example ""Altera-SoCFPGA-Helloworld-Baremetal-GNU"" and have also received the e=2 error. At a minimum I should be able to install and run the example. This is the out put of the make /cygdrive/c/intelFPGA/20.1/embedded/examples/software/Altera-SoCFPGA-HelloWorld-Baremetal-GNU $ make arm-eabi-gcc -mfloat-abi=softfp -mtune=cortex-a9 -mcpu=cortex-a9 -g -O0 -Werror -Wall -Wstrict-prototypes -c hello.c -o hello.o process_begin: CreateProcess(NULL, arm-eabi-gcc -mfloat-abi=softfp -mtune=cortex-a9 -mcpu=cortex-a9 -g -O0 -Werror -Wall -Wstrict-prototypes -c hello.c -o hello.o, ...) failed. make (e=2): The system cannot find the file specified. make: *** [hello.o] Error 2  I have run the SoCEDSSetup-20.1.0.711-windows.exe and I have run the soceds-cygwin-setup.bat I have set the environment variable SOCEDS_DEST_ROOT= C:\intelFGPA\20.1\embedded    "
12,ELF download failure,"We are seeking for ideas with the following issue we have on Cyclone V.  We have a project in development where adding Altera PIO (and sometimes other MM-slaves) breaks the ability to load ELF into NIOS memory (both DDR and on-chip):  $ nios2-download -g --instance 0 --device 1 --cable USB-Blaster[USB-0] c13_commit_C3.elf Using cable ""USB-Blaster [USB-0]"", device 1, instance 0x00 Pausing target processor: not responding. Resetting and trying again: FAILED Leaving target processor paused  The NIOS is visible on JTAG chain and the memory map is exactly the same as in the working version.  How can such JTAG download problem be debugged?  "
13,"Hi, I am trying to write a simple ISR for handling button presses. I am trying to print ""Interrupt!"" on every interrupt on the falling edge of a press. The following code is printing nothing:","I have configured the PIO module by checking the Synchronously Capture, Enable bit clearing for edge-capture register and Generate IRQ options. IRQ type is set to EDGE, and EDGE type is set to falling.  Following is my code:  #include <stdio.h> #include ""system.h"" #include ""altera_avalon_pio_regs.h"" #include ""sys/alt_irq.h""  volatile int edge_capture;  /* button IRQ function */ //static void handle_button_interrupts(void* context, alt_u32 id) static void handle_button_interrupts(void* context) { /* Cast context to edge_capture's type. It is important that this be * declared volatile to avoid unwanted compiler optimization. */ //int delay; volatile int* edge_capture_ptr = (volatile int*) context; /* Store the value in the Button's edge capture register in *context. */ *edge_capture_ptr = IORD_ALTERA_AVALON_PIO_EDGE_CAP(BUTTON_BASE); /* Reset the Button's edge capture register. */ IOWR_ALTERA_AVALON_PIO_EDGE_CAP(BUTTON_BASE, 0x0); // Delay before exiting ISR. IORD_ALTERA_AVALON_PIO_EDGE_CAP(BUTTON_BASE); } /* Initialize the button_pio. */ static void init_button_pio() { /* Recast the edge_capture pointer to match the alt_irq_register() function * prototype. */ void* edge_capture_ptr = (void*) &edge_capture; /* Enable all 4 button interrupts. */ IOWR_ALTERA_AVALON_PIO_IRQ_MASK(BUTTON_BASE, 0x1); /* Reset the edge capture register. */ IOWR_ALTERA_AVALON_PIO_EDGE_CAP(BUTTON_BASE, 0x0); /* Register the interrupt handler. */ alt_ic_isr_register(BUTTON_IRQ_INTERRUPT_CONTROLLER_ID, BUTTON_IRQ, handle_button_interrupts, edge_capture_ptr, 0x0); }  static void handle_button_press(alt_u8 type) { /* Button press actions while counting. */ if (type == 'r') {  printf(""Interrupt!\n""); } }  int main() { //IOWR_ALTERA_AVALON_PIO_DATA(LED_PIO_BASE, 0xf); printf(""Init\n""); init_button_pio(); while (1) { if(edge_capture!=0) { handle_button_press('r'); } //for(int i=0;i<1000000;i++){} } return 0; }  Any help/guidance will be greatly appreciated, thanks a lot! "
14,MAX 10 ADC Sequencer Core Command Register Setting,"Hi,​ I am testing the ADC in FPGA MAX 10 (10M50DAF484C6GES). With reference to the example code below, it seems that the adc operation does not stop even if the RUN bit is set to 0. I would like to know how to set the stop bit and how to set it in one cycle ADC mode. Thank you for your help. ​ ​ "
15,Did anyone already include the Gnu Scientific Library (GSL) into the SoC EDS (19.1) environment?,"Hi all, I read the INSTALL information of the latest GSL (2.6), but yet unable to cross compile the package for the ARM cortex A9... Any help is greatly appreciated ! regards, Bert "
16,Using HDMI in HPS of HAN Pilot Board (Arria 10),"Hi, ​ I'm working on the HPS ( linux BSP) of HAN Pilot board (Arria 10) and am trying to display my image data through HDMI. ​ From the intel site, I can download the ""HAN_v.1.0.5_HWrevE-SystemCD"" with some demonstration projects. ​ There is Demonstration/SoC_FPGA/a10s_hdmi project, but I can't find the C program for that. ​ About the led example, there is an example C code and a manual. ​ Can I take a example C code for the HDMI in HPS ? ​ And which paper should I read for this? ​ ------------------------------------------------------------------ In order to control the HDMI and transfer image data, ​ what should i use as memory mapped address in HPS?  In order to store data in SDRAM, what should i use as memory mapped address in HPS? ​ ------------------------------------------------------------------ ​ When I open the Demonstration/SoC-FPGA/a10s_hdmi project in Quartus and open soc_system.qsys in platform designer, a error message "" i2c_opencores_hdmi: Component type i2c_opencores is not in the library"" show up. In fact, there is no the IP module about i2c_opencores_hdmi (quartus 18.1 standard, pro, 19.1...) How can I solve this problem? ​ "
